Customer,Address,Phone,Personnummer,BankAccount
Lillemor Andersson,"Bäcktorget 69, 46193 Örebro",08-754 44 59,840613-3390,SE8902BFAA59502027796519
Marie Strömberg-Magnusson,"Idrottsgränd 12, 34795 Gävle",+46 (0)8 300 442 79,781209-4915,SE8902CUUX35991776274673
Elin Stenström,"Björkgatan 864, 48586 Varberg",08-845 65 23,840514-6385,SE8902MEUJ12583052373274
Elin Stenström,"Björkgatan 864, 48586 Varberg",08-845 65 23,840514-6385,SE8902AHNV89692341198492
Elin Stenström,"Björkgatan 864, 48586 Varberg",08-845 65 23,840514-6385,SE8902NTFH01064636641044
Birgitta Persson,"Trädgårdsgatan 40, 25456 Sandviken",08-592 257 46,641022-8859,SE8902MAFK91613138529780
Karina Nilsson,"Skolgatan 73, 49146 Uddevalla",08-58 31 31,680229-6191,SE8902LZLX90544527585788
Ebba Jansson,"Kyrkostigen 48, 86916 Jönköping",0784-68 31 66,700918-9908,SE8902JAGM21136886702516
Ebba Jansson,"Kyrkostigen 48, 86916 Jönköping",0784-68 31 66,700918-9908,SE8902IPJL84462668733092
Pernilla Jansson,"Villastigen 218, 16578 Landskrona",0283-533 22,540701-2516,SE8902KXQZ51570419970356
Pernilla Jansson,"Villastigen 218, 16578 Landskrona",0283-533 22,540701-2516,SE8902SAXR50686340728598
Pernilla Jansson,"Villastigen 218, 16578 Landskrona",0283-533 22,540701-2516,SE8902PNMZ47985736012731
Livia Strömberg,"Gengatan 677, 36739 Uppsala",0175-82 05 17,450828-8802,SE8902VJRI33586922529209
Erika Eriksson,"Grangatan 14, 88167 Malmö",0746-731 58,900712-8805,SE8902JVNE11202882283459
Amanda Nordqvist,"Skogsvägen 2, 98160 Karlskrona",08-65 44 86,540922-2501,SE8902BUEG01543905771095
Ulrika Hansson,"Bäckgatan 16, 99171 Västerås",+46 (0)8 257 783 79,870102-3718,SE8902KATB35108246964189
Elisabet Lövgren,"Parkvägen 837, 91114 Norrköping",0424-870 13,480229-6808,SE8902EXDO77351409949930
Anette Nilsson,"Gengränd 2, 92539 Norrköping",+46 (0)72 36 78 32,770327-2380,SE8902OMHQ61023228616959
Margareta Eriksson,"Industristigen 5, 94909 Piteå",0564-959 06,610915-5900,SE8902TARQ52814552542297
Margareta Eriksson,"Industristigen 5, 94909 Piteå",0564-959 06,610915-5900,SE8902HJCU51381730307695
Margareta Eriksson,"Industristigen 5, 94909 Piteå",0564-959 06,610915-5900,SE8902ZUIH32054423564254
Tova Söderman,"Kvarntorget 24, 44383 Nyköping",08-954 155 55,631027-0456,SE8902FOSG59896805742255
Elisabet Larsson,"Idrottsgatan 625, 69160 Gävle",08-28 70 71,731002-1477,SE8902ABGA31604511049722
Nanna Nordin,"Genvägen 67, 39912 Lidingö",0087-956 38,730120-4108,SE8902SPVY94972178751366
Linda Jönsson,"Nystigen 02, 10686 Borås",08-512 183 57,690401-1134,SE8902VXEH17556635656786
Linda Jönsson,"Nystigen 02, 10686 Borås",08-512 183 57,690401-1134,SE8902ZHVV98111521012860
Elisabeth Brännström-Gustafsson,"Villagatan 81, 22557 Lidköping",022-86 05 31,980406-0540,SE8902ROIF90393361462445
Elisabeth Brännström-Gustafsson,"Villagatan 81, 22557 Lidköping",022-86 05 31,980406-0540,SE8902UXIT41676896878078
Marie Lindberg,"Parkgatan 96, 83118 Lidingö",0885-896 82,050903-1266,SE8902SVRR14245541362131
Charlotta Lennartsson,"Granvägen 1, 81587 Gävle",+46 (0)61 47 21 36,820112-8934,SE8902ZQCM12469422476399
Charlotta Lennartsson,"Granvägen 1, 81587 Gävle",+46 (0)61 47 21 36,820112-8934,SE8902JMYP35839764449656
Natalia Johansson,"Villastigen 84, 82498 Kristianstad",+46 (0)62 53 81 85,070318-4895,SE8902NQPR37480978954996
Natalia Johansson,"Villastigen 84, 82498 Kristianstad",+46 (0)62 53 81 85,070318-4895,SE8902XVZB53807385574494
Maria Andersson Norman,"Parkvägen 975, 97353 Örebro",0071-442 81,761013-7551,SE8902IILS20920256766703
Katarina Karlsson-Karlsson,"Ängsstigen 40, 69655 Borås",08-363 39 93,000723-9320,SE8902KYNC59297637470343
Katarina Karlsson-Karlsson,"Ängsstigen 40, 69655 Borås",08-363 39 93,000723-9320,SE8902LYWC73141366562379
Sofia Öberg Hansson,"Fabriksstigen 630, 96378 Landskrona",+46 (0)8 045 983 11,730913-5205,SE8902ACBU41545762793300
Leia Blom,"Åkertorget 9, 72700 Västerås",0625-25 64 84,001227-7703,SE8902KYLZ91691163898855
Leia Blom,"Åkertorget 9, 72700 Västerås",0625-25 64 84,001227-7703,SE8902YSER23809809823330
Emelie Johansson,"Storgatan 166, 91003 Kalmar",08-36 68 37,660108-3352,SE8902SVOJ32793267590900
Maria Ljungqvist Hagström,"Parktorget 737, 47458 Trollhättan",+46 (0)8 218 698 36,931123-6559,SE8902FSBM50881895225169
Maria Ljungqvist Hagström,"Parktorget 737, 47458 Trollhättan",+46 (0)8 218 698 36,931123-6559,SE8902SPDW36248491049541
Signe Dahlberg Danielsson,"Ringgatan 690, 96990 Varberg",08-378 96 56,820225-0430,SE8902YWOR66141106925315
Signe Dahlberg Danielsson,"Ringgatan 690, 96990 Varberg",08-378 96 56,820225-0430,SE8902ETKQ88425525618595
Marie Sandström,"Gengatan 051, 25727 Varberg",08-67 49 28,530915-7518,SE8902PZAZ20070100515651
Marie Sandström,"Gengatan 051, 25727 Varberg",08-67 49 28,530915-7518,SE8902VRMQ26366074373381
Gunvor Sjöberg,"Storstigen 38, 80185 Karlskrona",+46 (0)8 319 629 28,710209-0136,SE8902YJUN28649613685861
Gunvor Sjöberg,"Storstigen 38, 80185 Karlskrona",+46 (0)8 319 629 28,710209-0136,SE8902QEWI25966475772351
Cecilia Johnson Söderström,"Trädgårdsgatan 841, 74584 Halmstad",+46 (0)8 385 450 97,891212-8025,SE8902LFWM72503172970805
Cecilia Johnson Söderström,"Trädgårdsgatan 841, 74584 Halmstad",+46 (0)8 385 450 97,891212-8025,SE8902TRCO62989417471868
Cecilia Johnson Söderström,"Trädgårdsgatan 841, 74584 Halmstad",+46 (0)8 385 450 97,891212-8025,SE8902DFUR20294844807414
Ingeborg Lundquist,"Kvarnstigen 846, 74185 Uppsala",021-322 13 04,990818-7744,SE8902XVJM59989238097967
Viktoria Nielsen-Hedlund,"Bäckgatan 27, 81664 Skövde",08-592 03 54,361111-4145,SE8902IFPV72140679061770
Viktoria Nielsen-Hedlund,"Bäckgatan 27, 81664 Skövde",08-592 03 54,361111-4145,SE8902QYTI30134710825653
Viktoria Nielsen-Hedlund,"Bäckgatan 27, 81664 Skövde",08-592 03 54,361111-4145,SE8902LCFJ99564345040191
Viktoria Nielsen-Hedlund,"Bäckgatan 27, 81664 Skövde",08-592 03 54,361111-4145,SE8902LWOF30774901338793
Inger Lindgren-Karlsson,"Kyrkogatan 34, 61533 Södertälje",+46 (0)8 569 604 08,670530-9463,SE8902YRRA01363037551827
Agneta Holmström,"Trädgårdstorget 87, 65632 Skövde",+46 (0)8 261 754 50,830921-8272,SE8902FBWR45134219538438
Maya Lundgren,"Skolstigen 694, 95066 Piteå",+46 (0)8 673 697 84,031224-5145,SE8902UBZM65701401105939
Pia Johansson,"Skolstigen 673, 89604 Karlskoga",093-858 95 04,720509-9109,SE8902POEQ50630253340435
Pia Johansson,"Skolstigen 673, 89604 Karlskoga",093-858 95 04,720509-9109,SE8902DQAB77009980605702
Annelie Sjölund Gustafsson,"Bäckvägen 349, 79143 Östersund",+46 (0)402 165 79,030409-6332,SE8902CXQQ95524321022219
Filippa Backman Eliasson,"Industritorget 549, 48744 Skellefteå",08-74 70 39,990624-6831,SE8902HZCR79182239930135
Charlotte Karlsson,"Strandvägen 54, 16998 Halmstad",0652-250 62,890613-4914,SE8902YCFT26248183967563
Charlotte Karlsson,"Strandvägen 54, 16998 Halmstad",0652-250 62,890613-4914,SE8902NMWD24000286452931
Lilian Karlsson,"Järnvägsvägen 0, 16259 Helsingborg",08-72 34 93,361229-0233,SE8902DFUH70937402764860
Lilian Karlsson,"Järnvägsvägen 0, 16259 Helsingborg",08-72 34 93,361229-0233,SE8902CWDO20077844008455
Maria Norlin,"Bäckgränd 79, 88859 Luleå",08-211 809 89,521003-1299,SE8902FKKA04604006870259
Maria Norlin,"Bäckgränd 79, 88859 Luleå",08-211 809 89,521003-1299,SE8902IABM71838135855326
Marie Axelsson,"Storvägen 176, 84168 Norrköping",0551-671 22,420821-8919,SE8902VPQT37699173009844
Marianne Björklund,"Stationsgränd 080, 86976 Borlänge",0641-96 66 27,950108-5667,SE8902OSSE16603512853960
Emilia Gren-Andersson,"Kyrkstigen 2, 78347 Västerås",039-874 86 27,701209-0341,SE8902IKXB56316133626800
Emilia Gren-Andersson,"Kyrkstigen 2, 78347 Västerås",039-874 86 27,701209-0341,SE8902BJON09518259687429
Evy Skog,"Villavägen 6, 49766 Nyköping",08-835 037 89,800905-3813,SE8902OLOZ02170280138462
Evy Skog,"Villavägen 6, 49766 Nyköping",08-835 037 89,800905-3813,SE8902AAGM52051231782998
Gunilla Elofsson,"Björkgatan 354, 78541 Göteborg",0191-47 16 43,570622-6783,SE8902XNRB01969727086641
Gunilla Elofsson,"Björkgatan 354, 78541 Göteborg",0191-47 16 43,570622-6783,SE8902ICTV53897447828239
Maria Gustafsson-Eliasson,"Aspvägen 59, 49212 Alingsås",08-56 85 42,970516-7626,SE8902YSBY00812500118146
Maria Gustafsson-Eliasson,"Aspvägen 59, 49212 Alingsås",08-56 85 42,970516-7626,SE8902KBVF13029770329223
Maria Gustafsson-Eliasson,"Aspvägen 59, 49212 Alingsås",08-56 85 42,970516-7626,SE8902KVWH71287046708619
Karin Berg,"Parkgränd 8, 49579 Eskilstuna",+46 (0)15 42 10 48,501224-6467,SE8902OASF14087169723254
Karin Berg,"Parkgränd 8, 49579 Eskilstuna",+46 (0)15 42 10 48,501224-6467,SE8902XYFL77134268003997
Sandra Jakobsson,"Storstigen 947, 42675 Skellefteå",+46 (0)570 696 27,530816-5231,SE8902EGAU44847412777337
Sandra Jakobsson,"Storstigen 947, 42675 Skellefteå",+46 (0)570 696 27,530816-5231,SE8902MHYZ08408003997445
Ingrid Håkansson,"Industrigränd 321, 91013 Karlstad",0332-923 94,540509-5778,SE8902ONOK52614437126010
Ingrid Håkansson,"Industrigränd 321, 91013 Karlstad",0332-923 94,540509-5778,SE8902GMRX38439893605753
Gunvor Petersson,"Fabriksgatan 4, 32958 Uddevalla",+46 (0)58 31 25 37,410315-8186,SE8902UCDM83435036816918
Gunvor Petersson,"Fabriksgatan 4, 32958 Uddevalla",+46 (0)58 31 25 37,410315-8186,SE8902BURV58798816321857
Eva Eriksson,"Nyvägen 195, 86458 Lund",+46 (0)8 146 369 82,610419-8863,SE8902BHYT34889245308568
Beatrice Dahl,"Ängstorget 5, 92729 Norrköping",+46 (0)076 401 11,620816-1684,SE8902QHUH19874587550707
Sara Friberg,"Industrigränd 42, 66500 Norrköping",+46 (0)8 726 601 76,470310-8037,SE8902IGJG42825638310983
Sara Friberg,"Industrigränd 42, 66500 Norrköping",+46 (0)8 726 601 76,470310-8037,SE8902REPB36443168681858
Julia Backlund,"Ängsvägen 3, 25927 Kristianstad",0685-096 39,010209-0586,SE8902REDG68030564852485
Isabella Melin,"Gengatan 920, 89582 Malmö",+46 (0)8 005 641 09,480723-9480,SE8902ZHVU99937869772842
Isabella Melin,"Gengatan 920, 89582 Malmö",+46 (0)8 005 641 09,480723-9480,SE8902QWQQ86008373248115
Jennifer Ahmad,"Gentorget 30, 88596 Örebro",+46 (0)04 43 48 14,690219-4049,SE8902BPRF86991817921482
Jennifer Ahmad,"Gentorget 30, 88596 Örebro",+46 (0)04 43 48 14,690219-4049,SE8902SVHZ40527211740813
Elisabet Hall Olsson,"Kyrkogatan 81, 24552 Uppsala",054-654 48 43,991112-0872,SE8902XIRD62021462144304
Elisabet Hall Olsson,"Kyrkogatan 81, 24552 Uppsala",054-654 48 43,991112-0872,SE8902BVPP11722561909890
Elisabet Hall Olsson,"Kyrkogatan 81, 24552 Uppsala",054-654 48 43,991112-0872,SE8902NXOC67295124940565
Sofia Blomberg,"Kvarntorget 040, 29438 Karlskrona",08-454 04 39,930802-1600,SE8902CIAL03937645988715
Sofia Blomberg,"Kvarntorget 040, 29438 Karlskrona",08-454 04 39,930802-1600,SE8902ZQHA53957175041781
Lovisa Omar,"Järnvägsvägen 2, 79452 Falun",+46 (0)278 976 58,881222-9030,SE8902YRRR37134570492392
Lovisa Omar,"Järnvägsvägen 2, 79452 Falun",+46 (0)278 976 58,881222-9030,SE8902YNZE15033483705861
Inger Hansson,"Grangatan 60, 11969 Karlskrona",+46 (0)8 847 669 91,480411-9735,SE8902RNER71700945656875
Yvonne Eriksson-Jonsson,"Kyrkogatan 2, 37728 Stockholm",08-426 400 86,860513-4603,SE8902IAHV26752836143814
Madelene Edström,"Stationsvägen 42, 88545 Växjö",047-928 53 24,790228-8765,SE8902ADOS04660130698652
Madelene Edström,"Stationsvägen 42, 88545 Växjö",047-928 53 24,790228-8765,SE8902JLJH61154131542583
Madelene Edström,"Stationsvägen 42, 88545 Växjö",047-928 53 24,790228-8765,SE8902EXIB33653688394695
Hanna Roth,"Kyrkovägen 99, 70134 Alingsås",+46 (0)995 407 84,680125-3862,SE8902KAND96978722587730
Annikki Söderlund,"Kyrkovägen 94, 11874 Trelleborg",+46 (0)465 833 75,551116-3668,SE8902YMSM74745884812450
Elisabeth Carlberg,"Skolvägen 038, 33236 Falun",020-519 06 12,480119-8963,SE8902NXJY73173246535128
Elisabeth Carlberg,"Skolvägen 038, 33236 Falun",020-519 06 12,480119-8963,SE8902CYQC46682846018386
Carina Persson,"Bäckvägen 0, 25848 Helsingborg",0062-408 59,050713-9863,SE8902LIHB80150065226412
Leona Christensen,"Parkgatan 46, 69162 Karlstad",08-698 233 83,040402-0190,SE8902HRJJ07032534595815
Mia Augustsson,"Granvägen 41, 70012 Landskrona",096-19 57 42,460629-3696,SE8902NJNO71292435669410
Linnéa Hellström,"Backvägen 9, 53689 Karlstad",+46 (0)228 807 56,940928-6961,SE8902PVWI60822318135818
Sofia Karlsson,"Backstigen 0, 20148 Östersund",08-235 574 65,040103-9896,SE8902VSTM42148590412545
Sonja Lundgren,"Skogsvägen 43, 93101 Norrköping",08-361 20 18,780405-7052,SE8902DXFF41444891693538
Karin Håkansson,"Kyrkgatan 9, 56039 Motala",08-908 603 30,920220-1050,SE8902HZDD35456836189006
Karin Håkansson,"Kyrkgatan 9, 56039 Motala",08-908 603 30,920220-1050,SE8902PBTS55285525903827
Ingrid Carlsson Lindqvist,"Villavägen 228, 19894 Östersund",08-023 83 36,460908-3243,SE8902WTFD23651921285545
Camilla Johansson,"Åkergatan 41, 43050 Umeå",+46 (0)247 033 06,671117-3887,SE8902FZGW85161075734916
Kerstin Sandberg,"Furutorget 442, 51943 Umeå",08-62 29 29,771219-4575,SE8902GPOD99006338563817
Margareta Nyberg,"Kyrkogatan 020, 98689 Jönköping",08-093 75 80,771113-6304,SE8902YRAS19706903348525
Maria Mustafa,"Ängsstigen 433, 39000 Alingsås",0009-816 31,540812-8204,SE8902WUYX84984211191528
Maria Eriksson,"Kyrkgatan 6, 37333 Motala",0434-358 34,031014-5602,SE8902ZONH09524321891052
Maria Eriksson,"Kyrkgatan 6, 37333 Motala",0434-358 34,031014-5602,SE8902SFZQ21119178952770
Monica Davidsson,"Parktorget 964, 47552 Falun",0476-945 52,991008-9805,SE8902YAIY48900253729953
Monica Davidsson,"Parktorget 964, 47552 Falun",0476-945 52,991008-9805,SE8902NGDD82045884942023
Nicole Öberg,"Grangatan 243, 35701 Umeå",+46 (0)993 969 48,711228-2020,SE8902IGFR09709190696891
Nicole Öberg,"Grangatan 243, 35701 Umeå",+46 (0)993 969 48,711228-2020,SE8902SDKC53939897005122
Kristina Wahlström,"Åkertorget 1, 29664 Karlskoga",08-052 25 09,910713-7995,SE8902TOWZ84199421608771
Madeleine Wallgren,"Villagränd 00, 32294 Karlskrona",0179-33 94 51,530710-2722,SE8902KLID41042863819347
Madeleine Wallgren,"Villagränd 00, 32294 Karlskrona",0179-33 94 51,530710-2722,SE8902EFPE75418536242597
Madeleine Wallgren,"Villagränd 00, 32294 Karlskrona",0179-33 94 51,530710-2722,SE8902ZAUK91622162952240
Anna Issa,"Strandgatan 1, 95099 Örebro",053-412 07 40,510622-7423,SE8902UMVZ90861687703651
Anna Issa,"Strandgatan 1, 95099 Örebro",053-412 07 40,510622-7423,SE8902USUX47630735390761
Karin Sköld Svantesson,"Strandstigen 60, 77690 Östersund",08-463 57 48,881124-3487,SE8902HPSF83946072962127
Karin Sköld Svantesson,"Strandstigen 60, 77690 Östersund",08-463 57 48,881124-3487,SE8902HQAX24109353987935
Berit Boström,"Stationsgatan 80, 93567 Mölndal",0832-813 31,060606-2966,SE8902KCCL74261469026133
Fanny Bergkvist-Johansson,"Skolstigen 9, 29980 Örnsköldsvik",08-942 11 00,971018-8674,SE8902MYSJ36785036389884
Fanny Bergkvist-Johansson,"Skolstigen 9, 29980 Örnsköldsvik",08-942 11 00,971018-8674,SE8902SBKR74537144087144
Fanny Bergkvist-Johansson,"Skolstigen 9, 29980 Örnsköldsvik",08-942 11 00,971018-8674,SE8902KKNI73122844462664
Johanna Mattsson,"Storgränd 950, 26487 Uddevalla",069-578 11 25,780823-7106,SE8902LJFE17402265899473
Johanna Mattsson,"Storgränd 950, 26487 Uddevalla",069-578 11 25,780823-7106,SE8902IFYW58294657050649
Johanna Mattsson,"Storgränd 950, 26487 Uddevalla",069-578 11 25,780823-7106,SE8902CLAF22088594438646
Johanna Mattsson,"Storgränd 950, 26487 Uddevalla",069-578 11 25,780823-7106,SE8902TCVN64620007776552
Maria Ohlsson,"Bäckgränd 22, 45166 Östersund",052-529 80 53,020408-0774,SE8902AUEU02373801535567
Margareta Fors Pettersson,"Idrottstorget 8, 23861 Trollhättan",086-436 40 22,960509-8483,SE8902DELJ05746900587491
Ann-Britt Karlberg Olausson,"Fabriksstigen 5, 53163 Skellefteå",052-855 43 88,550716-9935,SE8902ZUTM99843810815634
Britta Lundin-Carlsson,"Åkergränd 3, 32419 Gävle",0072-48 91 38,960311-5800,SE8902ONEQ83766006335630
Evelina Salomonsson,"Villavägen 2, 72957 Malmö",099-314 05 46,530430-8348,SE8902PBYT31821212795892
Catharina Forsberg,"Fabriksvägen 1, 21661 Uddevalla",08-727 96 49,540526-8854,SE8902WCYY27213758450336
Anna Mattsson,"Idrottsvägen 249, 77914 Lidköping",08-59 84 33,570213-6721,SE8902ILZI35949482301412
Maria Nord,"Storstigen 492, 10905 Gävle",+46 (0)73 65 51 84,601212-1551,SE8902XMWU73408358252236
Maria Nord,"Storstigen 492, 10905 Gävle",+46 (0)73 65 51 84,601212-1551,SE8902PCBN99920357884711
Maria Nord,"Storstigen 492, 10905 Gävle",+46 (0)73 65 51 84,601212-1551,SE8902IZTK78997933116030
Jeanette Jonsson,"Skoltorget 855, 24276 Varberg",08-149 17 94,841203-0994,SE8902HIDK89051118545185
Jeanette Jonsson,"Skoltorget 855, 24276 Varberg",08-149 17 94,841203-0994,SE8902AQSD69653171337159
Marie Persson,"Ängsgränd 557, 73062 Skellefteå",+46 (0)229 142 31,981118-4556,SE8902KJCQ70293334969600
Yvonne Hultman,"Ringgatan 20, 40299 Västerås",018-59 57 62,810429-3249,SE8902USWM75960195630724
Yvonne Hultman,"Ringgatan 20, 40299 Västerås",018-59 57 62,810429-3249,SE8902QOCL10314177175172
Yvonne Hultman,"Ringgatan 20, 40299 Västerås",018-59 57 62,810429-3249,SE8902ADUP42656009488269
Yvonne Hultman,"Ringgatan 20, 40299 Västerås",018-59 57 62,810429-3249,SE8902ZNXF37359255801506
Sara Svensson Engström,"Ängsvägen 233, 67061 Göteborg",08-042 985 56,660510-2315,SE8902HVJU59280905617832
Sara Svensson Engström,"Ängsvägen 233, 67061 Göteborg",08-042 985 56,660510-2315,SE8902FTFH30353856634469
Therése Svanberg,"Kyrkovägen 79, 17680 Luleå",08-683 329 29,950321-1055,SE8902SARX23297475568684
Therése Svanberg,"Kyrkovägen 79, 17680 Luleå",08-683 329 29,950321-1055,SE8902TZPA40303132128117
Therése Svanberg,"Kyrkovägen 79, 17680 Luleå",08-683 329 29,950321-1055,SE8902BRZY58744743598269
Anna Lindberg,"Parkvägen 246, 19845 Skellefteå",+46 (0)8 289 654 12,650307-4798,SE8902ZFPB43514179563467
Anna Lindberg,"Parkvägen 246, 19845 Skellefteå",+46 (0)8 289 654 12,650307-4798,SE8902KQCR38268845232382
Alva Lindberg,"Strandgatan 423, 53298 Luleå",035-85 76 92,470901-6937,SE8902JUTD53749123383746
Alva Lindberg,"Strandgatan 423, 53298 Luleå",035-85 76 92,470901-6937,SE8902TIKJ28529081186459
Alva Lindberg,"Strandgatan 423, 53298 Luleå",035-85 76 92,470901-6937,SE8902TYLT40345582138055
Ellie Fredriksson,"Furustigen 04, 32022 Göteborg",+46 (0)8 289 115 08,431018-4967,SE8902EXFS28783702929778
Ellie Fredriksson,"Furustigen 04, 32022 Göteborg",+46 (0)8 289 115 08,431018-4967,SE8902UDED11242220219330
Linnea Edvardsson-Olsson,"Ekgatan 41, 43181 Karlskoga",0188-921 88,350703-1247,SE8902SEOH55592315458862
Emma Karlsson,"Järnvägsgatan 70, 22548 Lidingö",077-610 91 63,681014-8830,SE8902GBSA48628244980908
Emma Karlsson,"Järnvägsgatan 70, 22548 Lidingö",077-610 91 63,681014-8830,SE8902IRSN48363289687931
Christina Andersson,"Ängsgatan 895, 80896 Motala",013-52 73 01,611003-9614,SE8902RMMF57658230023950
Christine Johansson,"Skogsstigen 04, 27281 Borlänge",+46 (0)8 436 708 84,450813-2893,SE8902AQYT55466061009593
Anna Nyman,"Industrigatan 7, 80688 Linköping",08-73 10 76,060816-6617,SE8902UOZP06381145500232
Linn Lundqvist,"Fabriksgränd 9, 48268 Lidingö",08-493 13 22,030406-2698,SE8902PUJC65150069126684
Margareta Vilhelmsson-Karlsson,"Backvägen 9, 47358 Stockholm",08-175 40 09,791104-3433,SE8902RWEK30581396134761
Julia Nygren,"Kyrkgatan 46, 15150 Karlskrona",057-552 21 64,720703-0235,SE8902MBLN98698078214773
Nathalie Rosenberg,"Parkgränd 56, 60814 Falun",+46 (0)37 39 98 22,001008-4424,SE8902PBTW03036587338892
Sofie Jansson,"Kyrkogatan 06, 49464 Halmstad",0354-38 06 12,711002-8938,SE8902UQVG98865511733208
Sofie Jansson,"Kyrkogatan 06, 49464 Halmstad",0354-38 06 12,711002-8938,SE8902RRZA54949356708764
Sofie Jansson,"Kyrkogatan 06, 49464 Halmstad",0354-38 06 12,711002-8938,SE8902SEMQ78628367515041
Esther Sjöblom,"Skogsvägen 302, 57389 Norrköping",08-772 13 58,490401-2814,SE8902DKHK20712159547418
Esther Sjöblom,"Skogsvägen 302, 57389 Norrköping",08-772 13 58,490401-2814,SE8902JDBK78801050964059
Ingrid Gustavsson,"Idrottsvägen 4, 30231 Piteå",+46 (0)8 811 600 85,800113-0551,SE8902NWRQ91553124445897
Ingrid Gustavsson,"Idrottsvägen 4, 30231 Piteå",+46 (0)8 811 600 85,800113-0551,SE8902BGXZ28785412485874
Christina Sjölin-Hassan,"Ektorget 44, 84891 Norrköping",+46 (0)468 141 72,380728-9636,SE8902YYCO88509625192877
Christina Sjölin-Hassan,"Ektorget 44, 84891 Norrköping",+46 (0)468 141 72,380728-9636,SE8902VVEC09411675567086
Christina Sjölin-Hassan,"Ektorget 44, 84891 Norrköping",+46 (0)468 141 72,380728-9636,SE8902CZZV03210142886950
Christina Sjölin-Hassan,"Ektorget 44, 84891 Norrköping",+46 (0)468 141 72,380728-9636,SE8902YXGG21330540090917
Annika Axelsson,"Storgränd 7, 47965 Göteborg",08-229 561 72,640505-2280,SE8902IGPV25805639452120
Kerstin Sandberg Wennberg,"Aspgatan 79, 65998 Helsingborg",08-10 44 22,700418-2494,SE8902LEBQ34484824716381
Kerstin Sandberg Wennberg,"Aspgatan 79, 65998 Helsingborg",08-10 44 22,700418-2494,SE8902ERNA19462716907689
Sanna Axelsson,"Björkgatan 1, 15588 Trelleborg",+46 (0)35 03 81 02,550107-8744,SE8902GDTQ04266575650099
Sanna Axelsson,"Björkgatan 1, 15588 Trelleborg",+46 (0)35 03 81 02,550107-8744,SE8902SOYR59886329051324
Ann-Charlott Persson,"Backgatan 539, 24547 Uddevalla",+46 (0)40 97 40 48,550111-5207,SE8902RDRK72349443062642
Evy Nilsson,"Järnvägsgränd 3, 66205 Örnsköldsvik",+46 (0)8 841 642 06,970215-6895,SE8902ANHE69104787829780
Evy Nilsson,"Järnvägsgränd 3, 66205 Örnsköldsvik",+46 (0)8 841 642 06,970215-6895,SE8902XBCE58002966066846
Ingrid Andersson Khan,"Kyrkgatan 598, 84980 Trollhättan",017-564 08 57,960815-3269,SE8902ZXBA03536655506503
Ingrid Andersson Khan,"Kyrkgatan 598, 84980 Trollhättan",017-564 08 57,960815-3269,SE8902DIRT22306886920827
Angelika Svensson,"Strandstigen 8, 99738 Halmstad",079-968 74 13,620310-8177,SE8902AQJO89998864993452
Maria Alm,"Bäckgatan 658, 43700 Kristianstad",023-766 53 35,591006-9508,SE8902OBJM92001280950136
Maria Alm,"Bäckgatan 658, 43700 Kristianstad",023-766 53 35,591006-9508,SE8902CFYX41825097298021
Rebecka Karlström Holmqvist,"Idrottsgatan 18, 59021 Göteborg",08-063 74 83,950327-5845,SE8902NKQD67441527476901
Rebecka Karlström Holmqvist,"Idrottsgatan 18, 59021 Göteborg",08-063 74 83,950327-5845,SE8902SXSR79368601524962
Karin Widén Bergsten,"Aspvägen 2, 12803 Stockholm",0591-078 62,490627-6623,SE8902TZRI36556189865002
Karin Widén Bergsten,"Aspvägen 2, 12803 Stockholm",0591-078 62,490627-6623,SE8902QAJL37790123676980
Anna Bäck,"Parkstigen 94, 44380 Helsingborg",+46 (0)8 530 227 73,891101-6742,SE8902QDXU96051978299389
Anna Bäck,"Parkstigen 94, 44380 Helsingborg",+46 (0)8 530 227 73,891101-6742,SE8902MIXK52256048746462
Helén Ingvarsson-Nylén,"Björkvägen 099, 45287 Gävle",08-268 72 68,471021-0214,SE8902IJSQ03004559813496
Karolina Söderlund,"Ringvägen 295, 40848 Sundsvall",021-33 06 45,661101-9396,SE8902ZIYZ32091394621221
Natalia Karlsson,"Asptorget 0, 99122 Mölndal",0169-78 58 05,020115-4580,SE8902IMBV21782603473256
Natalia Karlsson,"Asptorget 0, 99122 Mölndal",0169-78 58 05,020115-4580,SE8902ILYV54908324507359
Inger Gunnarsson-Persson,"Strandvägen 925, 22504 Karlstad",08-31 76 01,570201-8119,SE8902CARJ80795349413197
Britt Karlsson,"Strandvägen 72, 94746 Södertälje",08-417 372 67,701027-7676,SE8902NFSW96446848690649
Britt Karlsson,"Strandvägen 72, 94746 Södertälje",08-417 372 67,701027-7676,SE8902VISV26606115246910
Anna Turesson,"Kyrkvägen 5, 84395 Halmstad",0792-302 07,431104-1976,SE8902SWFR35893590471977
Anna Turesson,"Kyrkvägen 5, 84395 Halmstad",0792-302 07,431104-1976,SE8902TXKQ54669002424154
Astrid Andersson,"Järnvägsvägen 2, 83131 Kristianstad",+46 (0)03 91 44 08,050411-1055,SE8902CMID66051462454520
Helena Hansson,"Backvägen 8, 52268 Karlskoga",08-477 62 86,540924-8092,SE8902AVLH25460864385567
Helena Hansson,"Backvägen 8, 52268 Karlskoga",08-477 62 86,540924-8092,SE8902OABV60015877716559
Vanessa Ekström,"Kvarngatan 9, 93102 Alingsås",+46 (0)8 211 247 87,600218-4395,SE8902NVOQ64983229159879
